"huc8","population","area_m2","nColleges","nLentic","nLotic","nhdFeatures","padus_area_m2","area_km2","padus_area_km2","popDens","eduDens","parkDens","nSites","siteDens","med_age","med_income","bachDeg25p","vacRecHs","openWater","developed","forest","plantCult","wetland"
"01010002",4498,3198371987.73916,0,93,656,749,216629297.787371,3198.37198773916,216.629297787371,1.40634048110818,0,0.0677311140223249,10,0.00312659066498038,51.5,34119,0.110117384013415,0.931969125830192,0.0470528712370352,0,0.881608904629396,0,0.0149253731343284
"01010003",20770,2306208181.41826,1,86,582,668,227066967.603045,2306.20818141826,227.066967603045,9.00612536515544,0.000433612198611239,0.0984590070543434,11,0.00476973418472363,49.5,35852,0.106577113166899,0.68981018981019,0.0730593607305936,0.00105374077976818,0.703196347031964,0.0607657182999648,0.100105374077977
"01010004",50431,6321080523.1928,2,206,1456,1662,152994120.856645,6321.0805231928,152.994120856645,7.97822457963676,0.000316401601381561,0.0242037924205033,50,0.00791004003453903,42.9,36475.5,0.120281888653982,0.71864406779661,0.0149807938540333,0.00563380281690141,0.66056338028169,0.105121638924456,0.156081946222791
"01010005",14736,1327990168.06829,0,56,335,391,31035970.0557631,1327.99016806829,31.0359700557631,11.0964676955667,0,0.0233706324052899,13,0.00978922910168074,45.9,36284,0.100592829585019,0.712658227848101,0.00727713765918739,0.00545785324439054,0.474833232261977,0.110976349302608,0.203759854457247
"01010006",4498,3135270895.96025,0,36,145,181,22140350.5930611,3135.27089596025,22.1403505930611,1.43464477209788,0,0.00706170258576017,3,0.000956855117006143,51.5,34119,0.110117384013415,0.931969125830192,0.00490196078431373,0,0.478070175438597,0,0.0340557275541796
"01010007",4498,3844664311.23089,0,48,279,327,7554836.79849209,3844.66431123089,7.55483679849209,1.16993309061096,0,0.00196501857819503,11,0.00286110804729225,51.5,34119,0.110117384013415,0.931969125830192,0.00147554806070826,0,0.559443507588533,0,0.021079258010118
"01010008",12892,6027429295.12729,0,26,173,199,40951477.6261452,6027.42929512729,40.9514776261452,2.13888863207772,0,0.00679418631409767,3,0.000497724627383894,49.05,36823.5,0.120723113063017,0.6776345042241,0.00201450443190975,0.00067150147730325,0.135374697824335,0.005372011818426,0.00308890679559495
"01010009",9872,4161239711.38755,0,10,113,123,9467875.38527796,4161.23971138755,9.46787538527796,2.37236993893539,0,0.00227525354027753,3,0.000720939000892035,49.5,34302,0.09000259000259,0.620650313747861,0.000974089226573154,0.000584453535943893,0.0668225209429183,0.0192869666861485,0.0173387882330021
"01010010",16152,2529421044.2033,0,28,139,167,25303.04256577,2529.4210442033,0.02530304256577,6.38565099195949,0,1.00034917570395e-05,11,0.00434882125504918,41.7,36736,0.120433266017992,0.487596899224806,0.000960307298335467,0.000640204865556978,0.076504481434059,0.0685019206145966,0.0464148527528809
"01010011",2698,3633606626.47306,0,0,10,10,1422577.1203113,3633.60662647306,1.4225771203113,0.742512956780574,0,0.000391505538862394,0,0,45.9,36306,0.0922844175491679,0.759358288770054,0,0,0.00490086879037647,0.00155936734239251,0.00556916907997327
